Designator,Footprint,Quantity,Value,LCSC Part #
J1,TerminalBlock_RND_205-00051_1x08_P5.00mm_Horizontal,1,Screw_Terminal_01x08,
J9,TerminalBlock_RND_205-00051_1x08_P5.00mm_Horizontal,1,Screw_Terminal_01x08,
JP3,SolderJumper-3_P1.3mm_Bridged2Bar12_Pad1.0x1.5mm,1,SolderJumper_3_Bridged12,
J14,PinHeader_1x10_P5.0mm_Horizontal,1,Screw_Terminal_01x10,
JP5,SolderJumper-3_P1.3mm_Bridged2Bar12_Pad1.0x1.5mm,1,SolderJumper_3_Bridged12,
JP4,SolderJumper-3_P1.3mm_Bridged2Bar12_Pad1.0x1.5mm,1,SolderJumper_3_Bridged12,
J2,RJ45_OST_PJ012-8P8CX_Vertical,1,8P8C,
J13,PinHeader_1x10_P5.0mm_Horizontal,1,Screw_Terminal_01x10,
J5,RJ45_OST_PJ012-8P8CX_Vertical,1,8P8C,
J15,PinHeader_1x10_P5.0mm_Horizontal,1,Screw_Terminal_01x10,
J7,TerminalBlock_RND_205-00051_1x08_P5.00mm_Horizontal,1,Screw_Terminal_01x08,
JP8,SolderJumper-3_P1.3mm_Bridged2Bar12_Pad1.0x1.5mm,1,SolderJumper_3_Bridged12,
J17,Vertical-BarrelJack_54-00287,1,Barrel_Jack_Switch,
J11,TerminalBlock_RND_205-00049_1x06_P5.00mm_Horizontal,1,Screw_Terminal_01x06,
J8,TerminalBlock_RND_205-00051_1x08_P5.00mm_Horizontal,1,Screw_Terminal_01x08,
J12,TerminalBlock_RND_205-00051_1x08_P5.00mm_Horizontal,1,Screw_Terminal_01x08,
J6,TerminalBlock_RND_205-00051_1x08_P5.00mm_Horizontal,1,Screw_Terminal_01x08,
J3,RJ45_OST_PJ012-8P8CX_Vertical,1,8P8C,
JP2,SolderJumper-3_P1.3mm_Bridged2Bar12_Pad1.0x1.5mm,1,SolderJumper_3_Bridged12,
JP6,SolderJumper-3_P1.3mm_Bridged2Bar12_Pad1.0x1.5mm,1,SolderJumper_3_Bridged12,
JP1,SolderJumper-3_P1.3mm_Bridged2Bar12_Pad1.0x1.5mm,1,SolderJumper_3_Bridged12,
JP7,SolderJumper-3_P1.3mm_Bridged2Bar12_Pad1.0x1.5mm,1,SolderJumper_3_Bridged12,
J19,TerminalBlock_RND_205-00047_1x04_P5.00mm_Horizontal,1,Screw_Terminal_01x04,
J10,TerminalBlock_RND_205-00051_1x08_P5.00mm_Horizontal,1,Screw_Terminal_01x08,
JP9,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,1,SolderJumper_2_Bridged,
J18,691311500105,1,Screw_Terminal_01x05,
J16,Vertical-BarrelJack_54-00287,1,Barrel_Jack_Switch,
J4,RJ45_OST_PJ012-8P8CX_Vertical,1,8P8C,
F1,THT_JUMPER,1,Polyfuse,
XA1,Arduino_Mega2560_Shield,1,Arduino_Mega_jpm,
